,,birth rate,,,,,death rate
1,NIGER,45.45,,,,LESOTHO,14.89
2,MALI,44.99,,,,UKRAINE,14.46
3,UGANDA,43.79,,,,BULGARIA,14.44
4,ZAMBIA,42.13,,,,GUINEA-BISSAU,14.33
5,BURKINA FASO,42.03,,,,LATVIA,14.31
6,BURUNDI,42.01,,,,CHAD,14.28
7,MALAWI,41.56,,,,LITHUANIA,14.27
8,SOMALIA,40.45,,,,NAMIBIA,13.91
9,ANGOLA,38.78,,,,AFGHANISTAN,13.89
10,MOZAMBIQUE,38.58,,,,CENTRAL AFRICAN REPUBLIC,13.8
11,AFGHANISTAN,38.57,,,,RUSSIA,13.69
12,NIGERIA,37.64,,,,SERBIA,13.66
13,ETHIOPIA,37.27,,,,SOMALIA,13.62
14,SIERRA LEONE,37.03,,,,SWAZILAND,13.56
15,SOUTH SUDAN,36.91,,,,BOTSWANA,13.39
16,CHAD,36.6,,,,BELARUS,13.36
17,TANZANIA,36.39,,,,GABON,13.12
18,CAMEROON,36.17,,,,NIGERIA,12.9
19,BENIN,36.02,,,,MALI,12.89
20,"CONGO, REPUBLIC OF THE",35.85,,,,HUNGARY,12.73
21,GUINEA,35.74,,,,ZAMBIA,12.67
22,CENTRAL AFRICAN REPUBLIC,35.08,,,,MOLDOVA,12.59
23,"CONGO, DEMOCRATIC REPUBLIC OF THE",34.88,,,,NIGER,12.42
24,SENEGAL,34.52,,,,ESTONIA,12.4
25,GABON,34.49,,,,CROATIA,12.18
26,LIBERIA,34.41,,,,MOZAMBIQUE,12.1
27,SAO TOME AND PRINCIPE,34.23,,,,ROMANIA,11.9
28,TIMOR-LESTE,34.16,,,,BURKINA FASO,11.72
29,TOGO,34.13,,,,ANGOLA,11.49
30,RWANDA,33.75,,,,GERMANY,11.42
31,GUINEA-BISSAU,33.38,,,,SLOVENIA,11.37
32,EQUATORIAL GUINEA,33.31,,,,GREECE,11.09
33,MADAGASCAR,32.61,,,,PORTUGAL,11.02
34,ZIMBABWE,32.26,,,,GEORGIA,10.82
35,IRAQ,31.45,,,,SIERRA LEONE,10.81
36,MAURITANIA,31.34,,,,UGANDA,10.69
37,GAZA STRIP,31.11,,,,CZECH REPUBLIC,10.34
38,GHANA,31.09,,,,DENMARK,10.25
39,"GAMBIA, THE",30.86,,,,POLAND,10.19
40,WESTERN SAHARA,30.24,,,,ITALY,10.19
41,ERITREA,30,,,,ZIMBABWE,10.13
42,YEMEN,29.98,,,,CAMEROON,10.11
43,SUDAN,29.19,,,,"CONGO, DEMOCRATIC REPUBLIC OF THE",10.07
44,COTE D'IVOIRE,28.67,,,,ISLE OF MAN,10.06
45,COMOROS,27.84,,,,"CONGO, REPUBLIC OF THE",10
46,KENYA,26.4,,,,SOUTH AFRICA,9.91
