"row.names","ID","choice","mode","modeLable","wh","wage","whCrossAge","whCrossEduY","whCrossMarriage","wageCrossAge","wageCrossEduY","wageCrossMarriage","whSquare","ySquare","whCrossWage"
"1.partTimeInc",1,FALSE,1,"partTimeInc",2.41749,0.323672161215828,77.35968,2.41749,0,10.3575091589065,0.323672161215828,0,5.8442579001,0.104763667946125,0.782474213017651
"1.fullTimeInc",1,FALSE,2,"fullTimeInc",3.94367,0.700116750895019,126.19744,3.94367,0,22.4037360286406,0.700116750895019,0,15.5525330689,0.490163464883798,2.76102942700216
"1.lightOverTInc",1,TRUE,3,"lightOverTInc",5.26296,1,168.41472,5.26296,0,32,1,0,27.6987479616,1,5.26296
"1.heavyOverTInc",1,FALSE,4,"heavyOverTInc",7.33051,1.29878481175864,234.57632,7.33051,0,41.5611139762764,1.29878481175864,0,53.7363768601,1.68684198725492,9.52075505044482
"2.partTimeInc",2,FALSE,1,"partTimeInc",2.41749,0.287708587747402,74.94219,2.41749,2.41749,8.91896622016947,0.287708587747402,0.287708587747402,5.8442579001,0.0827762314636047,0.695532633793468
"2.fullTimeInc",2,FALSE,2,"fullTimeInc",3.94367,0.622326000795572,122.25377,3.94367,3.94367,19.2921060246627,0.622326000795572,0.622326000795572,15.5525330689,0.38728965126621,2.45424837955747
"2.lightOverTInc",2,FALSE,3,"lightOverTInc",5.26296,0.817658582630991,163.15176,5.26296,5.26296,25.3474160615607,0.817658582630991,0.817658582630991,27.6987479616,0.668565557750122,4.3033044140436
"2.heavyOverTInc",2,TRUE,4,"heavyOverTInc",7.33051,1,227.24581,7.33051,7.33051,31,1,1,53.7363768601,1,7.33051
"3.partTimeInc",3,FALSE,1,"partTimeInc",2.41749,0.323672161215828,87.02964,38.67984,2.41749,11.6521978037698,5.17875457945324,0.323672161215828,5.8442579001,0.104763667946125,0.782474213017651
"3.fullTimeInc",3,FALSE,2,"fullTimeInc",3.94367,0.700116750895019,141.97212,63.09872,3.94367,25.2042030322207,11.2018680143203,0.700116750895019,15.5525330689,0.490163464883798,2.76102942700216
"3.lightOverTInc",3,TRUE,3,"lightOverTInc",5.26296,1,189.46656,84.20736,5.26296,36,16,1,27.6987479616,1,5.26296
"3.heavyOverTInc",3,FALSE,4,"heavyOverTInc",7.33051,1.29878481175864,263.89836,117.28816,7.33051,46.756253223311,20.7805569881382,1.29878481175864,53.7363768601,1.68684198725492,9.52075505044482
