"","age","gender","edulevel","workowner","workhour","marriage","district","aftertwage","beforetaxinc","taxed","taxRate","groupe","uprateBTInc14to10","afterT14to10"
"1",26,1,3,4,84,1,1,1000,1000,0,0,"lowInc",433,433
"2",32,0,3,4,56,0,1,1000,1000,0,0,"lowInc",433,433
"3",31,0,3,4,63,1,1,1000,1000,0,0,"lowInc",433,433
"4",36,0,2,4,56,1,1,1000,1000,0,0,"lowInc",433,433
"5",41,0,4,4,56,1,1,1000,1000,0,0,"lowInc",433,433
"6",26,0,5,2,54,0,1,2800,2800,0,0,"meadInc",1213,1213
"7",43,0,3,4,50,1,1,1000,1000,0,0,"lowInc",433,433
"8",32,1,7,4,50,0,1,11000,12181,1181,0.0969542730481898,"meadHighInc",5277,4911
"9",49,0,1,4,70,1,1,1000,1000,0,0,"lowInc",433,433
"10",24,0,3,4,70,1,1,1000,1000,0,0,"lowInc",433,433
"11",42,0,3,4,84,1,1,1000,1000,0,0,"lowInc",433,433
"12",43,1,3,3,63,1,1,10000,10931,931,0.0851706156801756,"meadHighInc",4735,4450
"13",43,0,3,4,60,1,1,2800,2800,0,0,"meadInc",1213,1213
"14",33,1,3,4,30,1,1,1000,1000,0,0,"lowInc",433,433
"15",27,0,3,4,56,1,1,1000,1000,0,0,"lowInc",433,433
"16",22,0,6,3,40,1,1,1000,1000,0,0,"lowInc",433,433
"17",28,0,3,3,35,0,1,1000,1000,0,0,"lowInc",433,433
"18",26,0,4,2,40,1,1,1000,1000,0,0,"lowInc",433,433
"19",41,0,3,4,56,1,1,1000,1000,0,0,"lowInc",433,433
"20",31,1,6,4,45,1,1,10000,10931,931,0.0851706156801756,"meadHighInc",4735,4450
"21",23,1,3,4,70,1,1,2800,2800,0,0,"meadInc",1213,1213
"22",28,0,4,2,30,1,1,1000,1000,0,0,"lowInc",433,433
"23",44,0,2,4,70,1,1,1000,1000,0,0,"lowInc",433,433
"24",46,0,2,2,14,1,2,1000,1000,0,0,"lowInc",433,433
"25",31,0,3,2,20,1,2,1000,1000,0,0,"lowInc",433,433
"26",51,0,3,4,27,1,2,1000,1000,0,0,"lowInc",433,433
"27",35,0,3,4,56,1,2,1000,1000,0,0,"lowInc",433,433
"28",25,0,4,8,40,1,2,1000,1000,0,0,"lowInc",433,433
"29",32,0,4,77,40,1,2,1000,1000,0,0,"lowInc",433,433
"30",33,0,2,4,60,1,2,1000,1000,0,0,"lowInc",433,433
"31",41,0,3,4,40,1,2,1000,1000,0,0,"lowInc",433,433
"32",29,1,5,4,56,1,2,2800,2800,0,0,"meadInc",1213,1213
"33",51,1,4,1,70,1,2,1000,1000,0,0,"lowInc",433,433
"34",19,1,2,4,84,0,2,1000,1000,0,0,"lowInc",433,433
"35",24,0,3,4,10,1,2,1000,1000,0,0,"lowInc",433,433
"36",44,0,3,4,40,1,2,1000,1000,0,0,"lowInc",433,433
"37",23,0,3,4,40,0,2,1000,1000,0,0,"lowInc",433,433
"38",31,1,7,4,40,1,3,10000,10931,931,0.0851706156801756,"meadHighInc",4735,4450
"39",29,0,5,2,50,1,2,2800,2800,0,0,"meadInc",1213,1213
"40",27,1,4,4,30,1,2,2800,2800,0,0,"meadInc",1213,1213
"41",27,1,5,4,56,0,2,2800,2800,0,0,"meadInc",1213,1213
"42",26,0,6,1,45,0,2,1000,1000,0,0,"lowInc",433,433
"43",39,0,6,2,45,1,2,1970,1970,0,0,"lowInc",853,853
"44",28,1,3,2,40,1,2,1000,1000,0,0,"lowInc",433,433
"45",29,0,4,4,35,1,2,1000,1000,0,0,"lowInc",433,433
"46",24,0,3,4,60,1,4,1000,1000,0,0,"lowInc",433,433
"47",35,0,3,4,50,1,4,1000,1000,0,0,"lowInc",433,433
"48",28,1,6,4,80,0,4,2800,2800,0,0,"meadInc",1213,1213
"49",21,1,3,4,70,1,4,1000,1000,0,0,"lowInc",433,433
"50",54,0,3,8,20,1,4,1000,1000,0,0,"lowInc",433,433
"51",41,0,4,4,40,0,4,1000,1000,0,0,"lowInc",433,433
"52",38,0,3,4,42,1,4,1000,1000,0,0,"lowInc",433,433
"53",43,1,3,4,56,1,4,2800,2800,0,0,"meadInc",1213,1213
"54",26,0,5,4,60,1,4,1000,1000,0,0,"lowInc",433,433
"55",20,1,4,3,56,1,4,2800,2800,0,0,"meadInc",1213,1213
"56",53,0,5,2,40,1,4,2800,2800,0,0,"meadInc",1213,1213
"57",42,0,4,3,35,0,4,1000,1000,0,0,"lowInc",433,433
"58",25,0,6,4,40,0,4,1000,1000,0,0,"lowInc",433,433
"59",43,0,4,4,60,0,4,1000,1000,0,0,"lowInc",433,433
"60",24,1,6,4,49,1,4,2800,2800,0,0,"meadInc",1213,1213
"61",28,0,5,4,56,1,4,1000,1000,0,0,"lowInc",433,433
"62",39,1,2,4,70,1,4,1000,1000,0,0,"lowInc",433,433
"63",32,0,3,1,40,1,4,1000,1000,0,0,"lowInc",433,433
"64",42,0,5,3,40,0,4,1000,1000,0,0,"lowInc",433,433
"65",47,0,4,1,40,1,4,1000,1000,0,0,"lowInc",433,433
"66",52,1,3,4,66,1,4,2800,2800,0,0,"meadInc",1213,1213
"67",57,1,3,4,8,1,4,2800,2800,0,0,"meadInc",1213,1213
"68",50,1,1,77,94,1,4,10000,10931,931,0.0851706156801756,"meadHighInc",4735,4450
"69",53,0,4,4,28,1,4,1000,1000,0,0,"lowInc",433,433
"70",36,0,4,3,40,1,4,2800,2800,0,0,"meadInc",1213,1213
"71",27,0,3,4,63,1,4,1000,1000,0,0,"lowInc",433,433
"72",44,1,3,3,56,0,4,2800,2800,0,0,"meadInc",1213,1213
"73",51,1,3,8,6,1,4,1000,1000,0,0,"lowInc",433,433
"74",17,1,4,4,63,0,4,1000,1000,0,0,"lowInc",433,433
"75",22,1,2,4,50,1,4,2800,2800,0,0,"meadInc",1213,1213
"76",57,1,2,9,36,1,4,1000,1000,0,0,"lowInc",433,433
"77",46,1,2,9,50,1,4,1000,1000,0,0,"lowInc",433,433
"78",36,1,2,4,8,1,4,10000,10931,931,0.0851706156801756,"meadHighInc",4735,4450
"79",34,0,3,4,56,1,4,1000,1000,0,0,"lowInc",433,433
"80",53,1,3,4,72,1,4,1000,1000,0,0,"lowInc",433,433
"81",19,0,3,9,56,0,4,1000,1000,0,0,"lowInc",433,433
"82",51,1,2,4,10,1,4,10000,10931,931,0.0851706156801756,"meadHighInc",4735,4450
"83",21,1,4,1,70,1,4,1000,1000,0,0,"lowInc",433,433
"84",35,1,5,4,70,1,4,1000,1000,0,0,"lowInc",433,433
"85",43,0,2,4,70,1,4,2800,2800,0,0,"meadInc",1213,1213
"86",23,0,5,4,40,0,3,2800,2800,0,0,"meadInc",1213,1213
"87",29,1,6,2,45,1,4,2800,2800,0,0,"meadInc",1213,1213
"88",43,1,4,4,28,1,4,1000,1000,0,0,"lowInc",433,433
"89",58,1,4,2,21,1,4,1000,1000,0,0,"lowInc",433,433
"90",54,0,2,4,7,1,4,1000,1000,0,0,"lowInc",433,433
"91",43,0,3,4,30,1,4,1000,1000,0,0,"lowInc",433,433
"92",50,1,3,9,8,1,4,1000,1000,0,0,"lowInc",433,433
"93",43,1,4,4,56,1,4,1000,1000,0,0,"lowInc",433,433
"94",37,0,1,4,60,1,4,1000,1000,0,0,"lowInc",433,433
"95",31,1,3,4,40,1,4,2800,2800,0,0,"meadInc",1213,1213
"96",34,0,2,4,35,1,4,1000,1000,0,0,"lowInc",433,433
"97",24,0,5,4,40,1,4,2291,2291,0,0,"lowInc",992,992
"98",43,1,2,4,56,1,4,10000,10931,931,0.0851706156801756,"meadHighInc",4735,4450
"99",41,1,3,3,40,1,4,1000,1000,0,0,"lowInc",433,433
"100",34,0,4,2,40,1,4,2800,2800,0,0,"meadInc",1213,1213
"101",22,1,5,77,45,1,4,2800,2800,0,0,"meadInc",1213,1213
"102",51,1,4,1,40,1,4,2800,2800,0,0,"meadInc",1213,1213
"103",41,0,4,4,40,1,4,1000,1000,0,0,"lowInc",433,433
"104",31,1,2,3,56,1,4,1000,1000,0,0,"lowInc",433,433
"105",43,0,3,4,60,1,4,1000,1000,0,0,"lowInc",433,433
"106",41,1,3,4,48,1,4,1000,1000,0,0,"lowInc",433,433
"107",59,1,2,4,50,1,4,1000,1000,0,0,"lowInc",433,433
"108",44,1,1,4,50,1,4,1000,1000,0,0,"lowInc",433,433
"109",46,0,3,4,56,1,4,1000,1000,0,0,"lowInc",433,433
"110",31,1,3,4,50,1,4,1000,1000,0,0,"lowInc",433,433
"111",16,1,4,4,70,0,2,2800,2800,0,0,"meadInc",1213,1213
"112",24,1,5,4,35,0,2,2800,2800,0,0,"meadInc",1213,1213
"113",45,0,3,3,40,1,1,2800,2800,0,0,"meadInc",1213,1213
"114",24,1,3,4,40,0,2,2800,2800,0,0,"meadInc",1213,1213
"115",29,1,3,77,60,0,3,2800,2800,0,0,"meadInc",1213,1213
"116",27,1,5,3,42,0,1,2800,2800,0,0,"meadInc",1213,1213
"117",54,1,5,6,40,0,1,10000,10931,931,0.0851706156801756,"meadHighInc",4735,4450
"118",38,1,4,2,45,1,1,2800,2800,0,0,"meadInc",1213,1213
"119",27,1,5,1,45,1,1,2800,2800,0,0,"meadInc",1213,1213
"120",24,1,6,2,30,0,1,1320,1320,0,0,"lowInc",572,572
"121",24,0,6,2,20,0,1,2800,2800,0,0,"meadInc",1213,1213
"122",48,0,5,2,70,1,1,10000,10931,931,0.0851706156801756,"meadHighInc",4735,4450
"123",52,1,6,4,40,1,1,10000,10931,931,0.0851706156801756,"meadHighInc",4735,4450
"124",33,1,5,3,60,1,1,10000,10931,931,0.0851706156801756,"meadHighInc",4735,4450
"125",28,1,5,4,40,1,1,2800,2800,0,0,"meadInc",1213,1213
"126",33,1,6,4,40,0,1,10000,10931,931,0.0851706156801756,"meadHighInc",4735,4450
"127",22,1,6,4,60,1,1,2800,2800,0,0,"meadInc",1213,1213
"128",31,0,5,5,40,1,1,2800,2800,0,0,"meadInc",1213,1213
"129",35,1,5,5,40,0,1,10000,10931,931,0.0851706156801756,"meadHighInc",4735,4450
"130",51,1,2,4,50,1,1,2800,2800,0,0,"meadInc",1213,1213
"131",49,0,3,8,40,0,1,1000,1000,0,0,"lowInc",433,433
"132",51,1,2,1,48,0,1,1000,1000,0,0,"lowInc",433,433
"133",52,1,3,4,25,1,1,2800,2800,0,0,"meadInc",1213,1213
"134",33,0,3,4,48,1,1,2800,2800,0,0,"meadInc",1213,1213
"135",46,0,3,5,40,1,1,2800,2800,0,0,"meadInc",1213,1213
"136",23,0,5,5,40,1,1,2800,2800,0,0,"meadInc",1213,1213
"137",27,0,5,2,40,1,1,2800,2800,0,0,"meadInc",1213,1213
"138",53,1,3,4,50,1,1,10000,10931,931,0.0851706156801756,"meadHighInc",4735,4450
"139",47,1,2,3,50,1,1,2800,2800,0,0,"meadInc",1213,1213
"140",41,1,3,4,40,1,1,2800,2800,0,0,"meadInc",1213,1213
"141",37,0,2,5,72,1,1,2800,2800,0,0,"meadInc",1213,1213
"142",33,1,4,3,55,1,1,2800,2800,0,0,"meadInc",1213,1213
"143",33,0,4,5,40,1,1,2800,2800,0,0,"meadInc",1213,1213
"144",51,1,3,4,40,1,1,2800,2800,0,0,"meadInc",1213,1213
"145",28,1,5,4,40,1,1,10000,10931,931,0.0851706156801756,"meadHighInc",4735,4450
"146",52,0,3,4,70,0,1,1000,1000,0,0,"lowInc",433,433
"147",52,0,3,4,40,1,1,1000,1000,0,0,"lowInc",433,433
"148",37,0,3,5,40,1,1,2800,2800,0,0,"meadInc",1213,1213
"149",24,0,3,5,48,0,1,1000,1000,0,0,"lowInc",433,433
"150",45,0,2,4,48,1,1,2800,2800,0,0,"meadInc",1213,1213
"151",16,1,2,4,51,0,1,1000,1000,0,0,"lowInc",433,433
"152",23,0,2,4,60,1,1,2800,2800,0,0,"meadInc",1213,1213
"153",53,1,3,4,68,1,1,11000,12181,1181,0.0969542730481898,"meadHighInc",5277,4911
"154",45,1,3,4,51,1,1,2800,2800,0,0,"meadInc",1213,1213
"155",39,0,1,4,80,1,1,2800,2800,0,0,"meadInc",1213,1213
"156",41,1,3,4,40,1,1,10000,10931,931,0.0851706156801756,"meadHighInc",4735,4450
"157",43,0,3,4,40,1,1,2800,2800,0,0,"meadInc",1213,1213
"158",21,1,4,3,84,1,1,2800,2800,0,0,"meadInc",1213,1213
"159",38,0,3,3,50,1,1,2800,2800,0,0,"meadInc",1213,1213
"160",20,1,4,4,50,1,1,2800,2800,0,0,"meadInc",1213,1213
"161",59,1,1,4,56,1,1,2800,2800,0,0,"meadInc",1213,1213
"162",42,1,3,4,40,1,1,10000,10931,931,0.0851706156801756,"meadHighInc",4735,4450
"163",45,0,2,4,66,1,1,1000,1000,0,0,"lowInc",433,433
"164",49,0,4,4,63,1,1,2800,2800,0,0,"meadInc",1213,1213
"165",51,0,3,4,56,1,1,1000,1000,0,0,"lowInc",433,433
"166",43,1,4,4,66,1,1,2800,2800,0,0,"meadInc",1213,1213
"167",38,0,3,9,35,1,1,1000,1000,0,0,"lowInc",433,433
"168",26,0,6,4,48,0,1,2800,2800,0,0,"meadInc",1213,1213
"169",28,1,5,4,50,0,2,2800,2800,0,0,"meadInc",1213,1213
"170",44,1,2,4,63,0,2,2800,2800,0,0,"meadInc",1213,1213
"171",58,1,4,8,40,1,2,1000,1000,0,0,"lowInc",433,433
"172",28,1,4,4,50,0,1,10000,10931,931,0.0851706156801756,"meadHighInc",4735,4450
"173",28,0,3,4,42,0,2,1000,1000,0,0,"lowInc",433,433
"174",46,1,3,3,35,1,4,10000,10931,931,0.0851706156801756,"meadHighInc",4735,4450
"175",19,0,3,4,56,1,2,1000,1000,0,0,"lowInc",433,433
"176",30,0,3,4,65,1,2,1000,1000,0,0,"lowInc",433,433
"177",32,0,1,4,56,1,2,2800,2800,0,0,"meadInc",1213,1213
"178",36,0,2,4,63,1,1,1000,1000,0,0,"lowInc",433,433
"179",25,0,3,4,70,1,1,2800,2800,0,0,"meadInc",1213,1213
"180",31,0,3,4,70,1,1,1000,1000,0,0,"lowInc",433,433
"181",49,0,2,9,70,1,1,2800,2800,0,0,"meadInc",1213,1213
"182",32,1,4,4,10,1,1,2800,2800,0,0,"meadInc",1213,1213
"183",16,1,3,4,42,0,1,2800,2800,0,0,"meadInc",1213,1213
"184",38,1,6,2,40,1,1,2800,2800,0,0,"meadInc",1213,1213
"185",57,1,2,4,49,1,1,1000,1000,0,0,"lowInc",433,433
"186",29,0,3,4,48,1,1,2800,2800,0,0,"meadInc",1213,1213
"187",48,1,4,3,48,0,1,2800,2800,0,0,"meadInc",1213,1213
"188",45,0,3,4,40,1,1,1000,1000,0,0,"lowInc",433,433
"189",24,0,5,4,60,1,1,1000,1000,0,0,"lowInc",433,433
"190",46,0,1,4,50,1,1,1000,1000,0,0,"lowInc",433,433
"191",25,1,6,4,40,1,1,10000,10931,931,0.0851706156801756,"meadHighInc",4735,4450
"192",26,1,4,3,56,1,1,2800,2800,0,0,"meadInc",1213,1213
"193",43,1,3,3,48,0,1,2800,2800,0,0,"meadInc",1213,1213
"194",44,0,2,4,15,1,1,2800,2800,0,0,"meadInc",1213,1213
"195",22,0,4,4,48,0,1,1000,1000,0,0,"lowInc",433,433
"196",30,0,6,4,40,1,1,2800,2800,0,0,"meadInc",1213,1213
"197",45,1,1,1,40,1,1,1000,1000,0,0,"lowInc",433,433
"198",40,1,3,4,70,1,1,1000,1000,0,0,"lowInc",433,433
"199",53,0,2,4,45,1,1,1000,1000,0,0,"lowInc",433,433
"200",51,1,3,4,56,1,1,2800,2800,0,0,"meadInc",1213,1213
"201",47,1,4,3,56,0,2,2800,2800,0,0,"meadInc",1213,1213
"202",41,0,1,4,56,1,2,1000,1000,0,0,"lowInc",433,433
"203",54,1,4,6,56,1,2,1000,1000,0,0,"lowInc",433,433
